RegionName,RegionType,StateName,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,
"Ocala, FL",Msa,FL,119334.33,103704.25,97875.50,104113.50,111470.58,118422.17,126793.08,139316.25,150284.67,161002.25,
"Kalamazoo, MI",Msa,MI,124340.33,118290.50,117670.83,123925.58,131451.92,136124.50,143511.25,152193.75,164226.42,174564.58,
"Naples, FL",Msa,FL,250404.67,235141.67,236419.58,260186.75,289801.42,323042.75,345070.58,345327.83,348119.58,348210.08,
"South Bend, IN",Msa,IN,107529.75,102287.17,98803.08,101186.00,103987.92,106976.08,112127.83,119375.92,128385.08,135540.33,
"Spartanburg, SC",Msa,SC,117988.75,111317.67,111696.58,114194.17,115610.17,117991.92,123066.75,132550.08,142746.08,152122.00,
"Evansville, IN",Msa,IN,112463.83,111410.08,111172.58,112281.83,114785.08,118214.25,122594.42,128015.67,134494.75,140412.25,
"Kingsport, TN",Msa,TN,107812.67,105381.17,104973.17,106432.58,108926.75,110465.00,113616.08,117996.42,124580.92,130071.75,
"Roanoke, VA",Msa,VA,153318.42,150656.67,150684.75,153264.42,156889.75,161158.42,164441.17,169090.75,174519.67,182567.83,
"Green Bay, WI",Msa,WI,148767.50,138460.42,133779.75,131809.50,138296.50,142776.17,149355.25,159628.75,170374.58,179622.25,
"Lincoln, NE",Msa,NE,148529.42,145226.25,144444.00,154697.92,154125.17,162952.08,169584.08,181659.58,193015.08,201802.17,
"Fort Collins, CO",Msa,CO,244427.42,240967.50,246295.50,260492.83,279042.83,307849.25,342832.25,373343.25,394339.75,409258.42,
"Utica, NY",Msa,NY,111306.75,109183.17,107722.58,110230.08,110801.75,111995.25,114936.17,120127.08,128175.50,134900.00,
"Columbus, GA",Msa,GA,124377.42,118637.42,111919.92,110212.58,110400.17,111119.92,112024.50,113467.08,118249.33,123310.08,
"Boulder, CO",Msa,CO,333209.83,328210.50,332760.50,354503.75,383232.75,426091.58,483049.00,517426.08,546825.67,566744.50,
"Lubbock, TX",Msa,TX,129594.00,128270.33,127065.67,128517.58,131236.83,128950.00,132891.08,145469.92,152280.42,155322.42,
"Erie, PA",Msa,PA,121479.83,120494.08,120129.58,121247.25,121783.42,122607.17,123980.83,125882.75,128252.08,131353.58,
"Fort Smith, AR",Msa,AR,92388.50,89698.83,90564.17,91693.17,92904.33,95455.67,98643.33,102185.50,105581.25,109881.00,
"Duluth, MN",Msa,MN,139250.67,132669.17,129142.42,131411.50,138048.17,140467.17,143626.33,156025.33,161771.33,168050.92,
"Atlantic City, NJ",Msa,NJ,229490.00,214173.58,202746.42,198699.42,202145.92,193324.00,182097.83,181829.17,191702.50,202482.33,
"New London, CT",Msa,CT,254668.00,239058.75,223204.08,223612.75,225807.50,224575.75,225695.75,235677.08,240616.17,245378.92,
"San Luis Obispo, CA",Msa,CA,436654.25,403652.75,401822.58,454082.33,497701.83,522548.33,556326.58,583185.42,616015.83,623942.58,
"Gainesville, FL",Msa,FL,162045.25,144716.25,135762.83,139476.25,148530.58,154461.58,162376.17,174908.42,185310.08,195886.75,
"Santa Cruz, CA",Msa,CA,551021.42,509934.92,505050.67,583455.42,654732.75,696201.58,755148.92,795670.58,860638.17,863284.00,
"Clarksville, TN",Msa,TN,144421.00,144584.08,146059.83,146062.50,148129.00,149109.33,151802.33,156674.75,165063.83,172833.08,
"Cedar Rapids, IA",Msa,IA,137045.17,133146.58,132228.58,134829.00,137293.17,139248.58,142177.17,148112.33,152826.00,158493.00,
"Merced, CA",Msa,CA,122963.08,121245.92,120931.67,149609.00,186413.17,198666.92,218273.67,241471.83,264631.92,278118.50,
"Wilmington, NC",Msa,NC,215257.83,198046.92,189206.00,196513.67,203967.25,209853.75,218572.50,230557.25,245253.08,255068.42,
"Kennewick, WA",Msa,WA,179791.67,182596.50,181720.50,184611.33,189000.75,200066.92,218159.83,239641.17,267256.00,301210.25,
"Greeley, CO",Msa,CO,205401.92,199100.92,204972.25,218929.33,243818.42,272820.75,301136.08,331394.50,359616.17,379395.42,
"Waco, TX",Msa,TX,113305.75,113033.17,111366.92,112654.75,115983.42,120650.33,126236.08,139873.50,152383.67,161155.92,
"Olympia, WA",Msa,WA,250253.08,226145.00,213544.00,220140.92,231208.50,240124.42,259415.67,280360.00,308116.92,331159.50,
"Amarillo, TX",Msa,TX,119783.58,117185.50,116716.00,120126.17,124114.75,127753.08,133117.08,137060.17,141178.50,145438.33,
"Binghamton, NY",Msa,NY,117005.33,110050.83,107692.50,109455.42,109694.25,108652.33,109836.50,111199.58,118062.42,120513.58,
"Hagerstown, WV",Msa,MD,175375.92,156786.58,156613.17,163599.75,169022.42,171720.67,175128.50,182017.83,192075.17,199325.83,
"Bremerton, WA",Msa,WA,269168.75,252017.08,235417.58,244819.08,253843.58,269630.67,301343.75,331659.67,358084.75,384292.25,
"Laredo, TX",Msa,TX,131882.17,128910.00,129614.33,129702.25,131385.83,136931.58,141305.42,145218.58,148467.08,159306.33,
"Lynchburg, VA",Msa,VA,152076.92,147957.58,146743.42,148228.75,150978.92,155634.92,160725.50,167340.42,173922.92,182015.75,
"Yakima, WA",Msa,WA,162182.83,153694.08,153726.58,153231.58,154712.42,161532.50,172926.75,185893.42,205184.75,226046.83,
"Crestview-Fort Walton Beach-Destin, FL",Msa,FL,212248.17,197679.17,196619.58,209017.25,220164.00,225877.58,232021.50,244008.08,260429.92,274154.92,
"Topeka, KS",Msa,KS,113435.00,109835.92,109578.25,109184.58,110914.67,112205.42,113411.17,118112.67,124088.67,129550.75,
"Macon-Bibb County, GA",Msa,GA,86262.58,80436.17,77604.08,80385.00,85205.83,89119.25,91025.83,95303.58,102263.50,107995.50,
"Champaign-Urbana, IL",Msa,IL,137755.00,135190.58,132375.75,132012.42,133100.58,136255.50,139314.42,142075.50,141516.00,145350.92,
"Tuscaloosa, AL",Msa,AL,143500.17,138609.67,139903.83,140732.25,144811.25,148062.50,148547.58,148537.08,158371.92,165603.42,
"College Station, TX",Msa,TX,148381.42,148234.25,148137.67,153267.42,161527.50,173966.50,186617.58,199526.83,210022.42,215496.33,
"Sioux Falls, SD",Msa,SD,162460.25,160637.50,162209.42,167647.58,173082.17,180376.75,190707.33,203007.00,214125.33,224479.00,
"Charleston, WV",Msa,WV,100207.58,99480.83,97542.33,97381.50,98263.83,98927.50,102688.08,102950.17,100954.67,100289.33,
"Appleton, WI",Msa,WI,147680.25,140269.75,136222.58,141543.00,143751.00,149640.75,153573.92,164339.17,176188.50,186946.50,
"Chico, CA",Msa,CA,216927.17,199175.67,190908.83,214180.25,230843.33,237154.58,252106.42,267716.50,289673.50,325979.50,
"Charlottesville, VA",Msa,VA,267516.67,259148.58,257372.25,262153.17,267661.00,271171.58,276354.58,286751.67,298676.00,309354.92,
"Claremont, NH",Msa,NH,185337.92,181648.33,180842.42,183406.50,188342.83,193312.17,197406.25,205134.67,213154.33,222583.58,
"Barnstable Town, MA",Msa,MA,379642.42,365749.92,351692.08,365969.67,375245.83,383463.25,393513.75,415412.67,434950.75,443946.33,
"Longview, TX",Msa,TX,116589.75,115502.83,117347.42,122612.58,130853.92,139218.92,147589.42,153042.50,150968.50,163027.50,
"Burlington, VT",Msa,VT,252630.50,255618.00,253943.75,257019.33,260934.17,265788.33,269618.17,283894.00,294819.00,305758.25,
"Prescott, AZ",Msa,AZ,202500.58,182113.33,181211.25,205096.33,229237.75,239327.67,253566.83,274328.42,295997.08,311974.67,
